date,econ_act,unemploy,credit_cost,ent_debt,peo_debt,perm_ext_inv,bal_comex,int_reserves,nom_res,prim_res,gross_debt_gov,net_debt_gov,int_inv_pos,inflation,interest_rate,usd_brl
01/10/2012,1.03,7,,,,3.65,-3.24,377.753,-2.50,2.07,54.52,32.44,-32.3,5.45,7.5,2.026
01/11/2012,1.04,6.8,,,,3.83,-3.31,378.56,-2.73,1.77,54.65,32.08,-32.3,5.53,7.25,2.0312
01/12/2012,0.9,6.9,,,,3.76,-3.43,373.147,-2.26,2.18,53.67,32.19,-32.3,5.84,7.25,2.105
01/01/2013,1.21,7.3,19.94,,,3.57,-3.47,373.417,-2.22,2.25,53.98,32.17,-33.9,6.15,7.25,2.042
01/02/2013,1.31,7.8,19.98,7.56,3.8,3.48,-3.52,373.742,-2.50,1.98,54.03,32.59,-33.9,6.31,7.25,1.9843
01/03/2013,1.32,8.1,19.73,6.14,4.17,3.16,-3.54,376.934,-2.59,1.82,54.05,32.4,-33.9,6.59,7.25,1.9848
01/04/2013,1.91,7.9,19.56,5.62,5.44,3.2,-3.55,378.665,-2.65,1.72,53.78,32.14,-29.7,6.49,7.25,2.0186
01/05/2013,1.98,7.7,19.29,5,5.22,3.53,-3.55,374.417,-2.60,1.77,53.92,31.51,-29.7,6.5,7.5,2.01
01/06/2013,2.1,7.5,19.15,4.28,4.59,3.66,-3.41,369.402,-2.56,1.81,53.61,31.19,-29.7,6.7,8,2.136
01/07/2013,2.24,7.4,19.04,3.6,4.93,3.47,-3.56,371.966,-2.71,1.73,53.7,30.8,-31,6.27,8,2.2297
01/08/2013,2.2,7.2,18.97,3.38,4.93,3.35,-3.61,367.002,-2.82,1.65,53.44,30.58,-31,6.09,8.5,2.2914
01/09/2013,2.58,7,19.07,4.02,8.02,3.27,-3.59,368.654,-3.00,1.43,52.95,31.51,-31,5.86,9,2.364
01/10/2013,2.48,6.8,19.02,2.46,7.38,3.19,-3.58,364.505,-3.10,1.3,53.1,31.62,-29.3,5.84,9,2.2123
01/11/2013,2.56,6.6,19.02,2.22,8.73,3.17,-3.43,362.41,-2.67,1.95,52.73,30.58,-29.3,5.77,9.5,2.2468
